iso,country,continent
AFG,Afghanastan,Asia
DZA,Algeria,Africa
BGD,Bangladesh,Asia
BWA,Botswana,Africa
CHN,China,Asia
EGY,Egypt,Africa
SLV,El Salvador,North America
HND,Honduras,North America
IND,India,Asia
IRN,Iran (Islamic Republic of),Asia
JAM,Jamaica,North America
MNG,Mongolia,Asia
MMR,Myanmar,Asia
NPL,Nepal,Asia
OMN,Oman,Asia
PER,Peru,South America
LKA,Sri Lanka,Asia
THA,Thailand,Asia
TUN,Tunisia,Africa
TUR,Turkey,Asia
ARE,United Arab Emirates,Asia
BHR,Bahrain,Asia
BEN,Benin,Africa
SYR,Syrian Arab Republic,Asia
ZMB,Zambia,Africa
